lga_code,lga_name,state,ivi_region
21370,Campaspe (S),VIC,Bendigo & High Country
11500,Campbelltown (C) (NSW),NSW,Sydney
40910,Campbelltown (C) (SA),SA,Adelaide
11520,Canada Bay (A),NSW,Sydney
51330,Canning (C),WA,Perth
11570,Canterbury-Bankstown (A),NSW,Sydney
51400,Capel (S),WA,South West WA
21450,Cardinia (S),VIC,Melbourne
51470,Carnamah (S),WA,Pilbara & Kimberley
51540,Carnarvon (S),WA,Pilbara & Kimberley
32250,Carpentaria (S),QLD,Outback QLD
11600,Carrathool (A),NSW,Riverina & Murray
21610,Casey (C),VIC,Melbourne
32260,Cassowary Coast (R),QLD,Far North QLD
41010,Ceduna (DC),SA,Port Augusta & Eyre Peninsula
11650,Central Coast (C) (NSW),NSW,Gosford & Central Coast
60810,Central Coast (M) (Tas.),TAS,North West TAS
11700,Central Darling (A),NSW,Dubbo & Western NSW
70620,Central Desert (R),NT,Regional NT
21670,Central Goldfields (S),VIC,Bendigo & High Country
61010,Central Highlands (M) (Tas.),TAS,Hobart & Southeast TAS
32270,Central Highlands (R) (Qld),QLD,Central QLD
11720,Cessnock (C),NSW,Newcastle & Hunter
51610,Chapman Valley (S),WA,Pilbara & Kimberley
41060,Charles Sturt (C),SA,Adelaide
32310,Charters Towers (R),QLD,Far North QLD
32330,Cherbourg (S),QLD,Sunshine Coast
51680,Chittering (S),WA,Goldfields & Southern WA
61210,Circular Head (M),TAS,North West TAS
41140,Clare and Gilbert Valleys (DC),SA,Yorke Peninsula & Clare Valley
51750,Claremont (T),WA,Perth
61410,Clarence (C),TAS,Hobart & Southeast TAS
11730,Clarence Valley (A),NSW,NSW North Coast
41190,Cleve (DC),SA,Port Augusta & Eyre Peninsula
32450,Cloncurry (S),QLD,Outback QLD
11750,Cobar (A),NSW,Dubbo & Western NSW
51820,Cockburn (C),WA,Perth
11800,Coffs Harbour (C),NSW,NSW North Coast
21750,Colac-Otway (S),VIC,Geelong & Surf Coast
51890,Collie (S),WA,South West WA
41330,Coober Pedy (DC),SA,Port Augusta & Eyre Peninsula
32500,Cook (S),QLD,Far North QLD
12000,Coolamon (A),NSW,Riverina & Murray
51960,Coolgardie (S),WA,Goldfields & Southern WA
70700,Coomalie (S),NT,Regional NT
12150,Coonamble (A),NSW,Dubbo & Western NSW
52030,Coorow (S),WA,Pilbara & Kimberley
41560,Copper Coast (DC),SA,Yorke Peninsula & Clare Valley
21830,Corangamite (S),VIC,Geelong & Surf Coast
52100,Corrigin (S),WA,South West WA
52170,Cottesloe (T),WA,Perth
12350,Cowra (A),NSW,Blue Mountains Bathurst & Central West
52240,Cranbrook (S),WA,South West WA
32600,Croydon (S),QLD,Far North QLD
52310,Cuballing (S),WA,South West WA
52380,Cue (S),WA,Pilbara & Kimberley
12380,Cumberland (A),NSW,Sydney
