degree_code,degree_label,SITC_code,SITC_label
TDRE,High-skill and technology-intensive manufactures,583,"Monofilaments, of plastics, cross-section > 1mm"
TDRE,High-skill and technology-intensive manufactures,591,"Insectides &  similar products, for retail sale"
TDRE,High-skill and technology-intensive manufactures,592,"Starche, wheat gluten; albuminoidal substances; glues"
TDRE,High-skill and technology-intensive manufactures,593,Explosives and pyrotechnic products
TDRE,High-skill and technology-intensive manufactures,597,"Prepared addit. for miner. oils; lubricat., de-icing"
TDRE,High-skill and technology-intensive manufactures,598,"Miscellaneous chemical products, n.e.s."
TDRE,High-skill and technology-intensive manufactures,792,"Aircraft & associated equipment; spacecraft, etc."
TDRE,High-skill and technology-intensive manufactures,871,"Optical instruments & apparatus, n.e.s."
TDRE,High-skill and technology-intensive manufactures,872,"Instruments & appliances, n.e.s., for medical, etc."
TDRE,High-skill and technology-intensive manufactures,873,"Meters & counters, n.e.s."
TDRE,High-skill and technology-intensive manufactures,874,"Measuring, analysing & controlling apparatus, n.e.s."
TDRE,High-skill and technology-intensive manufactures,881,"Photographic apparatus & equipment, n.e.s."
TDRE,High-skill and technology-intensive manufactures,882,Cinematographic & photographic supplies
TDRE,High-skill and technology-intensive manufactures,883,"Cinematograph films, exposed & developed"
TDRE,High-skill and technology-intensive manufactures,884,"Optical goods, n.e.s."
TDRE,High-skill and technology-intensive manufactures,885,Watches & clocks
TDRE,High-skill and technology-intensive manufactures,891,Arms & ammunition
TDRE,High-skill and technology-intensive manufactures,892,Printed matter
TDRE,High-skill and technology-intensive manufactures,896,"Works of art, collectors' pieces & antiques"
TDRE,High-skill and technology-intensive manufactures,897,"Jewellery & articles of precious materia., n.e.s."
TDRE,High-skill and technology-intensive manufactures,898,"Musical instruments, parts; records, tapes & similar"
